# Échantillon multi-compte — 20 août 2026
#
# Deux clients Wakfu lancés depuis la même installation launcher Ankama,
# écrivant dans le même ~/.config/zaap/gamesLogs/wakfu/logs/wakfu_chat.log.
# PJ1 = breed 6, PJ2 = breed 2. Noms de personnages anonymisés.
# Combat 1552030105 = Sac à patates (mannequin, ne joue jamais).
# Combat 1552030238 = Mama Wapin (vrai monstre, joue un tour).
#
18:48:46,221 - [Information (combat)] PJ1: Pioche (+10 Niv.)
18:48:46,222 - [Information (combat)] PJ1: 0 PW (Pioche mélangée)
18:48:48,855 - [Information (combat)] 65 secondes reportées pour le tour suivant.
18:48:48,918 - [Information (combat)] 63 secondes reportées pour le tour suivant.
18:48:48,972 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
18:48:48,973 - [Information (combat)] PJ1: Veine (+20 Niv.)
18:48:49,022 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
18:48:49,023 - [Information (combat)] PJ1: Veine (+20 Niv.)
18:48:54,328 - [Information (combat)] 61 secondes reportées pour le tour suivant.
18:48:54,358 - [Information (combat)] 61 secondes reportées pour le tour suivant.
18:48:54,424 - [Information (combat)] PJ2: 0 PW (Invocateur animal)
18:48:54,477 - [Information (combat)] PJ2: 0 PW (Invocateur animal)
18:48:55,527 - [Information (combat)] 99 secondes reportées pour le tour suivant.
18:48:55,536 - [Information (combat)] 99 secondes reportées pour le tour suivant.
18:48:55,624 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
18:48:55,625 - [Information (combat)] PJ1: Veine (+40 Niv.)
18:48:55,634 - [Information (combat)] Mama Wapin lance le sort Coup de la Mama
18:48:55,651 - [Information (combat)] PJ1: 0 PW (Guerrier joueur)
18:48:55,652 - [Information (combat)] PJ1: Veine (+40 Niv.)
18:48:55,661 - [Information (combat)] Mama Wapin lance le sort Coup de la Mama
18:48:56,877 - [Information (combat)] PJ2: -3 PV (Eau)
18:48:56,961 - [Information (combat)] PJ2: -3 PV (Eau)
18:48:57,326 - [Information (combat)] PJ2: est poussé de 1 case
18:48:57,364 - [Information (combat)] PJ2: est poussé de 1 case
18:49:01,671 - [Information (combat)] PJ2 lance le sort Déplumage
18:49:01,729 - [Information (combat)] PJ2 lance le sort Déplumage
18:49:01,733 - [Information (jeu)] Vous avez ramassé 1x Pompon de Wapin .
18:49:01,733 - [Information (jeu)] Vous avez ramassé 1x Pompon de Wapin .
18:49:02,664 - [Information (combat)] Mama Wapin: tourne son regard
18:49:02,666 - [Information (combat)] Mama Wapin: -68 PV (Air)
18:49:02,834 - [Information (combat)] Mama Wapin: tourne son regard
18:49:02,835 - [Information (combat)] Mama Wapin: -68 PV (Air)
18:49:03,432 - [Information (combat)] PJ2 : +425 points d'XP.  Prochain niveau dans : 181 678 775.
18:49:03,439 - [Information (combat)] Combat terminé, cliquez ici pour rouvrir l'écran de fin de combat. 
18:49:03,485 - [Information (combat)] PJ1 : +2 703 points d'XP.  Prochain niveau dans : 139 348 038.
18:49:03,491 - [Information (combat)] Combat terminé, cliquez ici pour rouvrir l'écran de fin de combat. 
